Field ID	Description	Category
3088	Contra-indications for spirometry	Spirometry
3066	Data points for blow	Spirometry
10697	Data points for blow (pilot)	Spirometry
20258	FEV1/ FVC ratio Z-score	Spirometry
3063	Forced expiratory volume in 1-second (FEV1)	Spirometry
10695	Forced expiratory volume in 1-second (FEV1) (pilot)	Spirometry
20256	Forced expiratory volume in 1-second (FEV1) Z-score	Spirometry
20150	Forced expiratory volume in 1-second (FEV1), Best measure	Spirometry
20153	Forced expiratory volume in 1-second (FEV1), predicted	Spirometry
20154	Forced expiratory volume in 1-second (FEV1), predicted percentage	Spirometry
3062	Forced vital capacity (FVC)	Spirometry
10694	Forced vital capacity (FVC) (pilot)	Spirometry
20257	Forced vital capacity (FVC) Z-score	Spirometry
20151	Forced vital capacity (FVC), Best measure	Spirometry
3137	Number of measurements made	Spirometry
10717	Number of measurements made (pilot)	Spirometry
3065	Ordering of blows	Spirometry
3064	Peak expiratory flow (PEF)	Spirometry
10696	Peak expiratory flow (PEF) (pilot)	Spirometry
20042	Reason for skipping spirometry	Spirometry
20152	Reproduciblity of spirometry measurement using ERS/ATS criteria	Spirometry
3059	Result ranking	Spirometry
10691	Result ranking (pilot)	Spirometry
3159	Smoked cigarette or pipe within last hour	Spirometry
42	Spirometer device ID	Spirometry
20255	Spirometry QC measure	Spirometry
3132	Spirometry device serial number	Spirometry
10714	Spirometry device serial number (pilot)	Spirometry
10711	Spirometry method (pilot)	Spirometry
3060	Time of blow measurement	Spirometry
3090	Used an inhaler for chest within last hour	Spirometry
5212	Direct or mirror view (left)	Visual acuity
5205	Direct or mirror view (right)	Visual acuity
5081	Displayed letters in round (left)	Visual acuity
5080	Displayed letters in round (right)	Visual acuity
5211	Distance of viewer to screen (left)	Visual acuity
5204	Distance of viewer to screen (right)	Visual acuity
5188	Duration visual-acuity screen displayed (left)	Visual acuity
5186	Duration visual-acuity screen displayed (right)	Visual acuity
5207	Final number of letters displayed (left)	Visual acuity
5200	Final number of letters displayed (right)	Visual acuity
6075	Glasses worn/required (left)	Visual acuity
6074	Glasses worn/required (right)	Visual acuity
20262	Myopia diagnosis	Visual acuity
5077	Number of letters correct in round (left)	Visual acuity
5076	Number of letters correct in round (right)	Visual acuity
5074	Number of letters shown in round (left)	Visual acuity
5075	Number of letters shown in round (right)	Visual acuity
5209	Number of rounds to result (left)	Visual acuity
5202	Number of rounds to result (right)	Visual acuity
20057	Reason for skipping visual acuity (left)	Visual acuity
20056	Reason for skipping visual acuity (right)	Visual acuity
5187	Visual acuity measured (left)	Visual acuity
5185	Visual acuity measured (right)	Visual acuity
5082	Visual acuity result in round (left)	Visual acuity
5083	Visual acuity result in round (right)	Visual acuity
20261	avMSE	Visual acuity
5078	logMAR in round (left)	Visual acuity
5079	logMAR in round (right)	Visual acuity
5208	logMAR, final (left)	Visual acuity
5201	logMAR, final (right)	Visual acuity
5206	logMAR, initial (left)	Visual acuity
5199	logMAR, initial (right)	Visual acuity
